Id,NettingSet,DateIndex,Date,Sample,Depth,Value
CPTY_A,,3,2016-11-07,49,0,7134706.6579
CPTY_A,,3,2016-11-07,50,0,-2461925.7508
CPTY_A,,3,2016-11-07,51,0,6226520.0998
CPTY_A,,3,2016-11-07,52,0,14351150.1366
CPTY_A,,3,2016-11-07,53,0,17237240.0176
CPTY_A,,3,2016-11-07,54,0,6536480.9267
CPTY_A,,3,2016-11-07,55,0,-281827.2919
CPTY_A,,3,2016-11-07,56,0,24006407.1271
CPTY_A,,3,2016-11-07,57,0,-5790132.8079
CPTY_A,,3,2016-11-07,58,0,-363232.2211
CPTY_A,,3,2016-11-07,59,0,18186344.6989
CPTY_A,,3,2016-11-07,60,0,4033765.3975
CPTY_A,,3,2016-11-07,61,0,6765569.1387
CPTY_A,,3,2016-11-07,62,0,4316934.6012
CPTY_A,,3,2016-11-07,63,0,11128317.4363
CPTY_A,,3,2016-11-07,64,0,3464561.7095
CPTY_A,,3,2016-11-07,65,0,593725.8647
CPTY_A,,3,2016-11-07,66,0,3889436.1250
CPTY_A,,3,2016-11-07,67,0,701411.4298
CPTY_A,,3,2016-11-07,68,0,18510168.2924
CPTY_A,,3,2016-11-07,69,0,17922613.5523
CPTY_A,,3,2016-11-07,70,0,-1944976.6375
CPTY_A,,3,2016-11-07,71,0,1544759.4105
CPTY_A,,3,2016-11-07,72,0,-875569.1246
CPTY_A,,3,2016-11-07,73,0,21354354.6380
CPTY_A,,3,2016-11-07,74,0,10873710.6066
CPTY_A,,3,2016-11-07,75,0,917914.6757
CPTY_A,,3,2016-11-07,76,0,2068864.2340
CPTY_A,,3,2016-11-07,77,0,1060489.4720
CPTY_A,,3,2016-11-07,78,0,9462369.4509
CPTY_A,,3,2016-11-07,79,0,4750835.2252
CPTY_A,,3,2016-11-07,80,0,3834211.3709
CPTY_A,,4,2017-02-06,1,0,4690875.5810
CPTY_A,,4,2017-02-06,2,0,-318046.2799
CPTY_A,,4,2017-02-06,3,0,11037833.4290
CPTY_A,,4,2017-02-06,4,0,-2720749.7576
CPTY_A,,4,2017-02-06,5,0,4020743.3213
CPTY_A,,4,2017-02-06,6,0,13817431.3299
CPTY_A,,4,2017-02-06,7,0,6631154.1209
CPTY_A,,4,2017-02-06,8,0,3191073.9259
CPTY_A,,4,2017-02-06,9,0,-3190247.7644
CPTY_A,,4,2017-02-06,10,0,696810.7875
CPTY_A,,4,2017-02-06,11,0,12309814.7487
CPTY_A,,4,2017-02-06,12,0,11019206.0086
CPTY_A,,4,2017-02-06,13,0,6511400.5145
CPTY_A,,4,2017-02-06,14,0,14576283.0665
CPTY_A,,4,2017-02-06,15,0,-1155304.4042
CPTY_A,,4,2017-02-06,16,0,5175437.2321
CPTY_A,,4,2017-02-06,17,0,-5437555.8326
CPTY_A,,4,2017-02-06,18,0,9215517.2812
CPTY_A,,4,2017-02-06,19,0,18652576.6574
CPTY_A,,4,2017-02-06,20,0,2532383.3207
CPTY_A,,4,2017-02-06,21,0,22995004.7701
CPTY_A,,4,2017-02-06,22,0,-1635522.6176
CPTY_A,,4,2017-02-06,23,0,3304827.3429
CPTY_A,,4,2017-02-06,24,0,19919039.7573
CPTY_A,,4,2017-02-06,25,0,1871194.8535
CPTY_A,,4,2017-02-06,26,0,-8537626.5971
CPTY_A,,4,2017-02-06,27,0,24190097.0198
CPTY_A,,4,2017-02-06,28,0,-3780527.3513
CPTY_A,,4,2017-02-06,29,0,2128731.7047
CPTY_A,,4,2017-02-06,30,0,13483984.8751
CPTY_A,,4,2017-02-06,31,0,2513159.2694
CPTY_A,,4,2017-02-06,32,0,12760719.0432
CPTY_A,,4,2017-02-06,33,0,-81221.7731
CPTY_A,,4,2017-02-06,34,0,-7317010.3640
CPTY_A,,4,2017-02-06,35,0,23741684.2522
CPTY_A,,4,2017-02-06,36,0,-4702593.7942
CPTY_A,,4,2017-02-06,37,0,120035.3336
CPTY_A,,4,2017-02-06,38,0,8117164.5750
CPTY_A,,4,2017-02-06,39,0,1080211.9420
CPTY_A,,4,2017-02-06,40,0,9272483.4269
CPTY_A,,4,2017-02-06,41,0,-447171.8362
CPTY_A,,4,2017-02-06,42,0,-3164858.5337
CPTY_A,,4,2017-02-06,43,0,2749624.1654
CPTY_A,,4,2017-02-06,44,0,-2669983.2704
CPTY_A,,4,2017-02-06,45,0,14027661.1868
CPTY_A,,4,2017-02-06,46,0,6949511.2905
CPTY_A,,4,2017-02-06,47,0,18412452.9648
